node.owner.login,node.name,node.createdAt,node.updatedAt,node.primaryLanguage,node.releases.totalCount,node.totalIssues.totalCount,node.closedIssues.totalCount,node.pullRequests.totalCount,node.primaryLanguage.name
EbookFoundation,free-programming-books,2013-10-11T06:50:37Z,2024-03-20T13:45:15Z,,0,1067,1040,6445,
sindresorhus,awesome,2014-07-11T13:42:37Z,2024-03-20T14:22:25Z,,0,335,312,641,
public-apis,public-apis,2016-03-20T23:49:42Z,2024-03-20T14:21:33Z,,0,570,568,1871,Python
jwasham,coding-interview-university,2016-06-06T02:34:12Z,2024-03-20T14:04:20Z,,0,415,370,397,
kamranahmedse,developer-roadmap,2017-03-15T13:45:52Z,2024-03-20T14:05:56Z,,1,1840,1070,1793,TypeScript
996icu,996.ICU,2019-03-26T07:31:14Z,2024-03-20T13:56:11Z,,0,0,0,1066,
codecrafters-io,build-your-own-x,2018-05-09T12:03:18Z,2024-03-20T14:06:31Z,,0,605,426,134,
donnemartin,system-design-primer,2017-02-26T16:15:28Z,2024-03-20T14:24:14Z,,0,277,80,196,Python
facebook,react,2013-05-24T16:15:54Z,2024-03-20T14:12:36Z,,99,12750,11567,9784,JavaScript
vuejs,vue,2013-07-29T03:24:51Z,2024-03-20T13:27:39Z,,249,10015,9659,1133,TypeScript
vinta,awesome-python,2014-06-27T21:00:06Z,2024-03-20T14:22:43Z,,0,0,0,540,Python
tensorflow,tensorflow,2015-11-07T01:19:20Z,2024-03-20T14:25:10Z,,204,38888,36945,16907,C++
trekhleb,javascript-algorithms,2018-03-24T07:47:04Z,2024-03-20T13:41:00Z,,0,339,215,288,JavaScript
TheAlgorithms,Python,2016-07-16T09:44:01Z,2024-03-20T13:52:01Z,,0,1443,1412,2731,Python
awesome-selfhosted,awesome-selfhosted,2015-06-01T02:33:17Z,2024-03-20T14:22:46Z,,1,804,804,2395,
torvalds,linux,2011-09-04T22:48:12Z,2024-03-20T14:23:05Z,,0,0,0,9,C
ohmyzsh,ohmyzsh,2009-08-28T18:15:37Z,2024-03-20T14:01:25Z,,0,4654,4526,3076,Shell
twbs,bootstrap,2011-07-29T21:19:00Z,2024-03-20T14:20:37Z,,89,22314,21916,8673,JavaScript
practical-tutorials,project-based-learning,2017-04-12T05:07:46Z,2024-03-20T14:16:15Z,,0,119,64,182,
flutter,flutter,2015-03-06T22:54:58Z,2024-03-20T13:48:53Z,,7,92925,80641,36335,Dart
twbs,bootstrap,2011-07-29T21:19:00Z,2024-03-20T14:20:37Z,,89,22314,21916,8673,JavaScript
practical-tutorials,project-based-learning,2017-04-12T05:07:46Z,2024-03-20T14:16:15Z,,0,119,64,182,
flutter,flutter,2015-03-06T22:54:58Z,2024-03-20T13:48:53Z,,7,92925,80641,36335,Dart
ossu,computer-science,2014-05-04T00:18:39Z,2024-03-20T14:18:47Z,,0,627,612,255,
Significant-Gravitas,AutoGPT,2023-03-16T09:21:07Z,2024-03-20T14:01:22Z,,20,2174,2099,1534,JavaScript
microsoft,vscode,2015-09-03T20:23:38Z,2024-03-20T14:08:13Z,,127,173293,165704,23660,TypeScript
github,gitignore,2010-11-08T20:17:14Z,2024-03-20T14:17:24Z,,0,0,0,1523,
jackfrued,Python-100-Days,2018-03-01T16:05:52Z,2024-03-20T14:11:16Z,,0,629,107,13,Python
jlevy,the-art-of-command-line,2015-05-20T15:11:03Z,2024-03-20T14:17:51Z,,0,239,131,317,
Snailclimb,JavaGuide,2018-05-07T13:27:00Z,2024-03-20T14:25:49Z,,0,981,923,983,Java
airbnb,javascript,2012-11-01T23:13:50Z,2024-03-20T13:15:58Z,,0,1298,1208,802,JavaScript
ytdl-org,youtube-dl,2010-10-31T14:35:07Z,2024-03-20T14:11:38Z,,341,26475,22722,1621,Python
trimstray,the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2024-03-20T14:23:00Z,,0,0,0,122,
AUTOMATIC1111,stable-diffusion-webui,2022-08-22T14:05:26Z,2024-03-20T14:08:44Z,,20,7191,5237,1691,Python
labuladong,fucking-algorithm,2020-02-19T09:01:23Z,2024-03-20T14:23:07Z,,1,813,454,233,Markdown
huggingface,transformers,2018-10-29T13:56:00Z,2024-03-20T14:21:57Z,,141,14317,13526,11910,Python
vercel,next.js,2016-10-05T23:32:51Z,2024-03-20T14:22:35Z,,1000,19767,17183,16313,JavaScript
golang,go,2014-08-19T04:33:40Z,2024-03-20T12:58:03Z,,0,60798,52073,1,Go
avelino,awesome-go,2014-07-06T13:42:15Z,2024-03-20T14:08:41Z,,0,625,624,3123,Go
Chalarangelo,30-seconds-of-code,2017-11-29T17:35:03Z,2024-03-20T14:10:34Z,,8,294,294,816,JavaScript
facebook,react-native,2015-01-09T18:10:16Z,2024-03-20T14:17:19Z,,307,25533,24764,805,C++
electron,electron,2013-04-12T01:47:36Z,2024-03-20T13:51:41Z,,1000,19415,18565,18975,C++
justjavac,free-programming-books-zh_CN,2013-11-04T01:59:19Z,2024-03-20T13:51:45Z,,3,0,0,282,
yangshun,tech-interview-handbook,2016-07-05T05:00:48Z,2024-03-20T14:18:23Z,,0,88,60,456,TypeScript
d3,d3,2010-09-27T17:22:42Z,2024-03-20T11:30:44Z,,194,2188,2181,477,Shell
kubernetes,kubernetes,2014-06-06T22:56:04Z,2024-03-20T14:14:57Z,,661,44822,42864,57913,Go
axios,axios,2014-08-18T22:30:27Z,2024-03-20T14:25:56Z,,72,4506,3981,816,JavaScript
microsoft,PowerToys,2019-05-01T17:44:02Z,2024-03-20T14:12:50Z,,94,26758,21249,4535,C#
nodejs,node,2014-11-26T19:57:11Z,2024-03-20T14:22:04Z,,377,17349,15829,7692,JavaScript
f,awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2024-03-20T14:20:34Z,,0,0,0,114,HTML
facebook,create-react-app,2016-07-17T14:55:11Z,2024-03-20T14:22:02Z,,83,8241,6527,1944,JavaScript
Genymobile,scrcpy,2017-11-21T18:00:27Z,2024-03-20T14:21:43Z,,36,4278,2580,76,C
mrdoob,three.js,2010-03-23T18:58:01Z,2024-03-20T14:03:22Z,,154,12206,11838,12031,JavaScript
microsoft,TypeScript,2014-06-17T15:28:39Z,2024-03-20T14:00:48Z,,189,39590,34252,13758,TypeScript
goldbergyoni,nodebestpractices,2017-09-15T08:33:19Z,2024-03-20T14:16:19Z,,0,317,283,765,Dockerfile
angular,angular,2014-09-18T16:12:01Z,2024-03-20T14:09:45Z,,360,27019,25612,3523,TypeScript
microsoft,terminal,2017-08-11T18:38:22Z,2024-03-20T11:30:25Z,,107,12170,10692,3558,C++
denoland,deno,2018-05-15T01:34:26Z,2024-03-20T13:52:12Z,,265,9560,7708,10149,Rust
rust-lang,rust,2010-06-16T20:39:03Z,2024-03-20T14:04:17Z,,122,51939,42851,53608,Rust
mui,material-ui,2014-08-18T19:11:54Z,2024-03-20T13:01:33Z,,450,18745,17176,17731,TypeScript
ant-design,ant-design,2015-04-24T15:37:24Z,2024-03-20T14:03:59Z,,640,28889,27907,13206,TypeScript
ryanmcdermott,clean-code-javascript,2016-11-25T22:25:41Z,2024-03-20T14:02:38Z,,0,152,84,149,JavaScript
GrowingGit,GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2024-03-20T14:22:32Z,,0,310,154,0,Java
puppeteer,puppeteer,2017-05-09T22:16:13Z,2024-03-20T13:52:06Z,,366,6579,6281,4299,TypeScript
iluwatar,java-design-patterns,2014-08-09T16:45:18Z,2024-03-20T14:21:34Z,,0,907,709,1249,Java
PanJiaChen,vue-element-admin,2017-04-17T03:35:49Z,2024-03-20T13:23:07Z,,49,3572,2346,312,Vue
521xueweihan,HelloGitHub,2016-05-04T06:24:11Z,2024-03-20T14:13:16Z,,40,2602,2497,17,Python
papers-we-love,papers-we-love,2013-12-15T14:31:41Z,2024-03-20T14:12:24Z,,0,235,217,425,Shell
storybookjs,storybook,2016-03-18T04:23:44Z,2024-03-20T13:49:01Z,,1000,12196,10490,9642,TypeScript
nvbn,thefuck,2015-04-08T15:08:04Z,2024-03-20T13:28:03Z,,17,710,467,482,Python
ripienaar,free-for-dev,2015-03-18T21:06:26Z,2024-03-20T14:25:19Z,,0,0,0,2428,HTML
godotengine,godot,2014-01-04T16:05:36Z,2024-03-20T14:23:10Z,,54,48701,38920,31437,C++
microsoft,Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2024-03-20T14:05:51Z,,0,291,237,478,JavaScript
langchain-ai,langchain,2022-10-17T02:58:36Z,2024-03-20T14:18:40Z,,321,6330,5174,8388,Python
animate-css,animate.css,2011-10-12T10:07:38Z,2024-03-20T13:20:37Z,,22,860,838,315,CSS
fatedier,frp,2015-12-21T15:24:59Z,2024-03-20T14:15:18Z,,93,3230,3150,585,Go
gothinkster,realworld,2016-02-26T20:49:53Z,2024-03-20T12:45:25Z,,0,527,473,427,TypeScript
tailwindlabs,tailwindcss,2017-10-06T14:59:14Z,2024-03-20T13:31:27Z,,219,3173,3151,2011,HTML
iptv-org,iptv,2018-11-14T22:00:57Z,2024-03-20T14:17:18Z,,0,7587,7575,6150,JavaScript
pytorch,pytorch,2016-08-13T05:26:41Z,2024-03-20T14:12:03Z,,50,40617,27779,5657,Python
laravel,laravel,2011-06-08T03:06:08Z,2024-03-20T14:14:05Z,,159,0,0,1567,PHP
tensorflow,models,2016-02-05T01:15:20Z,2024-03-20T11:10:55Z,,42,7234,6189,2323,Python
django,django,2012-04-28T02:47:18Z,2024-03-20T14:09:24Z,,0,0,0,8843,Python
mtdvio,every-programmer-should-know,2017-08-24T13:18:26Z,2024-03-20T13:17:35Z,,0,42,18,98,
tauri-apps,tauri,2019-07-13T09:09:37Z,2024-03-20T13:34:26Z,,637,3641,2929,3799,Rust
sveltejs,svelte,2016-11-20T18:13:05Z,2024-03-20T14:08:22Z,,105,6054,5154,3585,JavaScript
Hack-with-Github,Awesome-Hacking,2016-03-30T15:47:10Z,2024-03-20T14:23:43Z,,0,0,0,29,
neovim,neovim,2014-01-31T13:39:22Z,2024-03-20T14:23:11Z,,36,10960,9548,12261,Vim Script
bitcoin,bitcoin,2010-12-19T15:16:43Z,2024-03-20T11:28:51Z,,46,7851,7478,13827,C++
tonsky,FiraCode,2014-11-11T19:32:38Z,2024-03-20T13:10:15Z,,29,1308,931,132,Clojure
MisterBooo,LeetCodeAnimation,2018-12-06T08:01:22Z,2024-03-20T14:21:16Z,,0,59,42,63,Java
gin-gonic,gin,2014-06-16T23:57:25Z,2024-03-20T14:04:14Z,,25,2168,1585,983,Go
opencv,opencv,2012-07-19T09:40:17Z,2024-03-20T13:21:20Z,,62,10360,7944,11859,C++
macrozheng,mall,2018-04-04T01:11:44Z,2024-03-20T14:26:04Z,,3,485,460,1,Java
nvm-sh,nvm,2010-04-15T17:47:47Z,2024-03-20T14:23:10Z,,66,2103,1755,705,Shell
florinpop17,app-ideas,2019-02-25T18:36:56Z,2024-03-20T14:16:07Z,,0,144,41,149,
doocs,advanced-java,2018-10-06T11:38:30Z,2024-03-20T08:52:34Z,,1,145,141,79,Java
FortAwesome,Font-Awesome,2012-02-17T14:19:43Z,2024-03-20T13:51:37Z,,54,19262,13794,202,JavaScript
spring-projects,spring-boot,2012-10-19T15:02:57Z,2024-03-20T13:14:30Z,,266,33424,32822,42,Java
gohugoio,hugo,2013-07-04T15:26:26Z,2024-03-20T13:51:43Z,,261,7080,6635,2381,Go
krahets,hello-algo,2022-11-04T11:08:34Z,2024-03-20T14:24:54Z,,7,141,131,686,Java
typicode,json-server,2013-11-27T13:21:13Z,2024-03-20T13:09:50Z,,34,1115,532,117,JavaScript
vuejs,awesome-vue,2015-10-20T00:16:14Z,2024-03-20T13:44:46Z,,0,221,188,3463,
excalidraw,excalidraw,2020-01-02T01:04:43Z,2024-03-20T14:26:23Z,,13,3102,1821,3282,TypeScript
jaywcjlove,awesome-mac,2016-07-17T15:33:47Z,2024-03-20T14:09:03Z,,7,399,297,828,JavaScript
tiangolo,fastapi,2018-12-08T08:21:47Z,2024-03-20T13:52:15Z,,177,3395,3354,1711,Python
oven-sh,bun,2021-04-14T00:48:17Z,2024-03-20T14:26:25Z,,126,5746,3388,2659,Zig
yt-dlp,yt-dlp,2020-10-26T04:22:55Z,2024-03-20T14:02:14Z,,79,6664,5440,1927,Python
home-assistant,core,2013-09-17T07:29:48Z,2024-03-20T14:03:44Z,,1000,47141,44592,56513,Python
massgravel,Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2024-03-20T14:25:40Z,,14,276,268,3,Batchfile
netdata,netdata,2013-06-17T18:39:10Z,2024-03-20T12:37:54Z,,78,7724,7515,8082,C
moby,moby,2013-01-18T18:10:57Z,2024-03-20T13:57:56Z,,163,22408,19424,19562,Go
thedaviddias,Front-End-Checklist,2017-10-16T10:12:36Z,2024-03-20T14:21:34Z,,1,145,145,173,
elastic,elasticsearch,2010-02-08T13:20:56Z,2024-03-20T09:27:28Z,,138,34548,30451,62240,Java
base-org,node,2023-02-01T13:55:02Z,2024-03-20T11:20:44Z,,28,105,99,88,Shell
hakimel,reveal.js,2011-06-07T18:54:22Z,2024-03-20T11:03:00Z,,46,2335,1643,397,JavaScript
mermaid-js,mermaid,2014-11-01T23:52:32Z,2024-03-20T14:14:03Z,,120,2752,1892,1976,JavaScript
pallets,flask,2010-04-06T11:11:59Z,2024-03-20T14:11:56Z,,33,2611,2608,1543,Python
DopplerHQ,awesome-interview-questions,2015-11-28T09:48:17Z,2024-03-20T14:26:01Z,,0,57,31,175,
apple,swift,2015-10-23T21:15:07Z,2024-03-20T12:21:30Z,,52,14699,8367,47315,C++
ChatGPTNextWeb,ChatGPT-Next-Web,2023-03-10T18:27:54Z,2024-03-20T14:24:11Z,,58,2434,2260,551,TypeScript
microsoft,ML-For-Beginners,2021-03-03T01:34:05Z,2024-03-20T13:55:19Z,,0,0,0,354,HTML
coder,code-server,2019-02-27T16:50:41Z,2024-03-20T13:52:16Z,,144,3396,3097,1429,TypeScript
CompVis,stable-diffusion,2022-08-10T14:36:44Z,2024-03-20T13:52:26Z,,0,682,186,5,Jupyter Notebook
supabase,supabase,2019-10-12T05:56:49Z,2024-03-20T14:13:48Z,,11,3204,3032,8031,TypeScript
webpack,webpack,2012-03-10T10:08:14Z,2024-03-20T11:38:45Z,,410,9768,9619,4565,JavaScript
vitejs,vite,2020-04-21T05:03:57Z,2024-03-20T14:19:22Z,,405,6797,6424,4189,TypeScript
